base_date,tourist
20210901,27100
20210902,25474
20210903,29808
20210904,29731
20210905,27683
20210906,25321
20210907,21737
20210908,25438
20210909,26959
20210910,30727
20210911,29473
20210912,27034
20210913,20205
20210914,14356
20210915,16821
20210916,21247
20210917,36621
20210918,50818
20210919,48546
20210920,36889
20210921,33405
20210922,44601
20210923,37050
20210924,34339
20210925,32530
20210926,34135
20210927,32258
20210928,25921
20210929,26324
20210930,35628
20211001,42798
20211002,44810
20211003,34045
20211004,34332
20211005,30330
20211006,30302
20211007,37044
20211008,43587
20211009,47325
20211010,36965
20211011,37390
20211012,32188
20211013,32559
20211014,37264
20211015,39390
20211016,37364
20211017,39349
20211018,37261
20211019,32837
20211020,36552
20211021,39864
20211022,40691
20211023,39441
20211024,39629
20211025,38898
20211026,35722
20211027,36284
20211028,39684
20211029,40544
20211030,40506
20211031,37002
20211101,40400
20211102,37331
20211103,40119
20211104,42236
20211105,42057
20211106,41089
20211107,39874
20211201,37645
20211202,39572
20211203,39556
20211204,37588
20211205,37073
20211206,37334
20211207,32607
20211208,32651
20211209,36063
20211210,36728
20211211,35642
20211212,35065
20211213,34428
20211214,30236
20211215,30302
20211216,34598
20211217,34515
20211218,33033
20211219,33445
20211220,32560
20211221,28836
20211222,30147
20211223,32488
20211224,34890
20211225,32226
20211226,35719
20211227,39615
20211228,36229
20211229,38912
20211230,41145
20211231,41611
20220101,29524
20220102,32793
20220103,34968
20220104,33377
20220105,34460
20220106,37610
20220107,37770
20220108,38031
20220109,39819
20220110,40976
20220111,36813
20220112,37434
20220113,39274
20220114,40454
20220115,38772
20220116,39111
20220117,40213
20220118,36865
20220119,35667
20220120,38753
20220121,37589
20220122,35640
20220123,36453
20220124,36239
20220125,32562
20220126,32496
20220127,36548
20220128,40403
20220129,47862
20220130,44404
20220131,33209
20220201,35265
20220202,42697
20220203,39263
20220204,35198
20220205,32496
20220206,37272
20220207,38390
20220208,35740
20220209,35950
20220210,38057
20220211,38725
20220212,37494
20220213,39376
20220214,39925
20220215,37755
20220216,38422
20220217,40549
20220218,39293
20220219,37987
20220220,38403
20220221,38903
20220222,36622
20220223,37201
20220224,39487
20220225,41083
20220226,43740
20220227,33827
20220228,25881
20220301,23631
20220302,24106
20220303,23437
20220304,29870
20220305,28553
20220306,27497
20220307,23298
20220308,24408
20220309,28646
20220310,24826
20220311,30940
20220312,27225
20220313,27378
20220314,28564
20220315,25090
20220316,24915
20220317,28237
20220318,33457
20220319,29606
20220320,31166
20220321,29710
20220322,27453
20220323,29536
20220324,33321
20220325,19028
20220326,40341
20220327,34032
20220328,32861
20220329,26063
20220330,26271
20220331,34488
20220501,39647
20220502,38295
20220503,38156
20220504,43888
20220505,47919
20220506,35449
20220507,32443
20220508,38464
20220509,41611
20220510,38128
20220511,41013
20220512,43644
20220513,44711
20220514,43771
20220515,43229
20220516,43011
20220517,40505
20220518,41968
20220519,44509
20220520,45598
20220521,44539
20220522,43689
20220523,44171
20220524,40695
20220525,42196
20220526,44278
20220527,45556
20220528,47105
20220529,44671
20220530,41997
20220531,41762
20220601,46660
20220602,42802
20220603,45512
20220604,49374
20220605,40101
20220606,40839
20220607,42580
20220608,41424
20220609,43115
20220610,43921
20220611,44705
20220612,43888
20220613,44139
20220614,41234
20220615,42424
20220616,44217
20220617,44045
20220618,43283
20220619,42813
20220620,42630
20220621,39442
20220622,41519
20220623,42280
20220624,42043
20220625,40263
20220626,41482
20220627,40824
20220628,34806
20220629,35960
20220630,39676
20220701,40215
20220702,35712
20220703,35659
20220704,36303
20220705,32190
20220706,37345
20220707,38261
20220708,39023
20220709,37862
20220710,39136
20220711,39302
20220712,35641
20220713,37907
20220714,37896
20220715,38027
20220716,37728
20220717,37857
20220718,38985
20220719,38569
20220720,42459
20220721,43339
20220722,42370
20220723,42704
20220724,43388
20220725,42416
20220726,41509
20220727,44254
20220728,44307
20220729,46507
20220730,48516
20220731,46823
20220801,47423
20220802,42542
20220803,44977
20220804,43245
20220805,41656
20220806,42064
20220807,42626
20220808,42042
20220809,39524
20220810,42865
20220811,45247
20220812,46906
20220813,49572
20220814,44493
20220815,41829
20220816,39563
20220817,37448
20220818,38074
20220819,39523
20220820,39598
20220821,40460
20220822,42193
20220823,39307
20220824,38548
20220825,39760
20220826,41290
20220827,41764
20220828,40992
20220829,39440
20220830,31070
20220831,33553
